northing,easting,upward,residual_gravity
-3189128.679961955,1965849.6835875125,2000.0,0.2814884059372104
-3189128.679961955,1970841.037931487,2000.0,-0.1891854587254266
-3189128.679961955,1975832.3922754617,2000.0,0.9475080140270363
-3189128.679961955,1980823.7466194362,2000.0,0.5550709887117612
-3189128.679961955,1985815.100963411,2000.0,-3.1678576230875723
-3189128.679961955,1990806.4553073854,2000.0,-2.3467925613325926
-3189128.679961955,1995797.80965136,2000.0,-2.7880980389723486
-3189128.679961955,2000789.1639953346,2000.0,-3.310593770857891
-3189128.679961955,2005780.5183393091,2000.0,-1.0692991970303949
-3189128.679961955,2010771.8726832836,2000.0,-0.4728427482113517
-3189128.679961955,2015763.2270272584,2000.0,0.09251540553570024
-3189128.679961955,2020754.5813712329,2000.0,-1.4633252095421994
-3189128.679961955,2025745.9357152074,2000.0,0.8813817822471919
-3189128.679961955,2030737.290059182,2000.0,1.7026991523667592
-3189128.679961955,2035728.6444031566,2000.0,0.6618047019103155
-3189128.679961955,2040719.9987471313,2000.0,-0.654618508187941
-3189128.679961955,2045711.3530911058,2000.0,-1.3727121029459954
-3189128.679961955,2050702.7074350803,2000.0,-1.5055196277292138
-3189128.679961955,2055694.061779055,2000.0,-3.008679896808785
-3189128.679961955,2060685.4161230295,2000.0,-2.643235973188607
-3189128.679961955,2065676.770467004,2000.0,-3.313005777469075
-3189128.679961955,2070668.1248109788,2000.0,-4.748370866029981
-3189128.679961955,2075659.4791549533,2000.0,-2.931376143322983
-3189128.679961955,2080650.8334989278,2000.0,-4.792884749364908
-3189128.679961955,2085642.1878429025,2000.0,-5.090897443880747
-3189128.679961955,2090633.542186877,2000.0,-3.4006055379084525
