LINE,STATION,LONGITUDE,LATITUDE,HEIGHT_SEA_LEVEL_M,HEIGHT_ELLIPSOID_M
0,5406,21.125,-30.643,1027,1027.1
0,5407,21.144,-30.514,952.3,952.4
0,5408,21.149,-30.36,960,960.1
0,5409,21.154,-30.36,959.6,959.7
0,5410,21.164,-30.415,953,953.1
0,5411,21.166,-30.576,996.9,997
0,5412,21.177,-30.939,1195.3,1195.4
0,5413,21.182,-30.623,1013.1,1013.2
0,5414,21.183,-30.362,932.2,932.3
0,5415,21.185,-30.115,880,880.1
0,5416,21.208,-30.733,1102.6,1102.7
0,5417,21.215,-30.387,950,950.1
0,5418,21.228,-30.679,1042.1,1042.2
0,5419,21.247,-30.404,958.7,958.8
0,5420,21.249,-30.094,878,878.1
0,5421,21.252,-30.903,1170.1,1170.2
0,5422,21.253,-30.546,969.6,969.7
0,5423,21.278,-30.833,1168.2,1168.3
0,5424,21.29,-30.409,960,960.1
0,5425,21.293,-30.421,965.4,965.5
0,5426,21.296,-30.982,1293.3,1293.4
0,5427,21.297,-30.902,1226.8,1226.9
0,5428,21.298,-30.772,1110.1,1110.2
0,5429,21.308,-30.704,1053.6,1053.7
0,5430,21.313,-30.071,875,875.1
0,5431,21.315,-30.475,1000,1000.1
0,5432,21.317,-30.497,1011.2,1011.3
0,5433,21.329,-30.525,993.2,993.3
0,5434,21.336,-30.396,980,980.1
0,5435,21.337,-30.541,1000,1000.1
0,5436,21.342,-30.395,967.8,967.9
0,5437,21.344,-30.86,1175.5,1175.6
0,5438,21.359,-30.892,1227.1,1227.2
0,5439,21.359,-30.581,994.6,994.7
0,5440,21.369,-30.982,1278.8,1278.9
0,5441,21.385,-30.809,1109.7,1109.8
0,5442,21.386,-30.598,1000,1000.1
0,5443,21.388,-30.041,880,880.1
0,5444,21.413,-30.953,1281.1,1281.2
0,5445,21.415,-30.909,1349.5,1349.6
0,5446,21.423,-30.763,1088.4,1088.5
0,5447,21.425,-30.374,980,980.1
0,5448,21.428,-30.582,1045.2,1045.3
0,5449,21.435,-30.37,971.9,972
0,5450,21.445,-30.393,968.3,968.4
0,5451,21.452,-30.065,890,890.1
0,5452,21.454,-30.639,1020,1020.1
0,5453,21.458,-30.508,990.1,990.2
0,5454,21.459,-30.64,1016.9,1017
0,5455,21.462,-30.903,1276,1276.1
0,5456,21.465,-30.987,1369.3,1369.4
0,5457,21.47,-30.717,1051.5,1051.6
0,5458,21.476,-30.449,978.7,978.8
0,5459,21.477,-30.353,1000,1000.1
0,5460,21.489,-30.607,1005.4,1005.5
0,5461,21.498,-30.408,982.8,982.9
0,5462,21.507,-30.658,1040,1040.1
0,5463,21.51,-30.659,1051.2,1051.3
0,5464,21.513,-30.358,1015.7,1015.8
0,5465,21.522,-30.866,1323.4,1323.5
0,5466,21.526,-30.546,980,980.1
0,5467,21.531,-30.085,910,910.1
0,5468,21.534,-30.367,1040,1040.1
0,5469,21.552,-30.516,982.3,982.4
0,5470,21.56,-30.918,1357.8,1357.9
0,5471,21.574,-30.482,971.8,971.9
0,5472,21.577,-30.96,1346.3,1346.4
0,5473,21.579,-30.692,1110,1110.1
0,5474,21.585,-30.459,975,975.1
0,5475,21.593,-30.843,1264.2,1264.3
0,5476,21.593,-30.686,1103.7,1103.8
0,5477,21.593,-30.067,920,920.1
0,5478,21.594,-30.403,1000,1000.1
0,5479,21.597,-30.513,980,980.1
0,5480,21.606,-30.415,989.4,989.5
0,5481,21.626,-30.496,975.8,975.9
0,5482,21.631,-30.72,1157.7,1157.8
0,5483,21.64,-30.72,1160,1160.1
0,5484,21.641,-30.581,996.4,996.5
0,5485,21.645,-30.55,990,990.1
0,5486,21.648,-30.958,1322.4,1322.5
0,5487,21.668,-30.403,976.5,976.6
0,5488,21.673,-30.027,923.2,923.3
0,5489,21.675,-30.855,1204,1204.1
0,5490,21.678,-30.398,980,980.1
0,5491,21.679,-30.027,940,940.1
0,5492,21.701,-30.767,1132.2,1132.3
0,5493,21.702,-30.765,1160,1160.1
0,5494,21.713,-30.086,940,940.1
0,5495,21.713,-30.987,1286,1286.1
0,5496,21.715,-30.609,1018.9,1019
0,5497,21.717,-30.673,1055.8,1055.9
0,5498,21.72,-30.642,1049.4,1049.5
0,5499,21.73,-30.153,934,934.1
0,5500,21.734,-30.579,1005.7,1005.8
0,5501,21.739,-30.509,975.8,975.9
0,5502,21.741,-30.791,1134.3,1134.4
0,5503,21.747,-30.442,973.6,973.7
0,5504,21.755,-30.382,975,975.1
0,5505,21.76,-30.381,976.5,976.6
0,5506,21.773,-30.805,1125,1125.1
0,5507,21.785,-30.81,1131.8,1131.9
0,5508,21.785,-30.862,1163.5,1163.6
0,5509,21.792,-30.948,1259.5,1259.6
0,5510,21.798,-30.643,1124.7,1124.8
0,5511,21.812,-30.217,938,938.1
0,5512,21.822,-30.162,930,930.1
0,5513,21.825,-30.379,979.4,979.5
0,5514,21.826,-30.378,978,978.1
0,5515,21.835,-30.84,1180,1180.1
0,5516,21.837,-30.103,967,967.1
0,5517,21.838,-30.843,1181.3,1181.4
0,5518,21.839,-30.053,962,962.1
0,5519,21.846,-30.921,1235.4,1235.5
0,5520,21.848,-30.675,1090.9,1091
0,5521,21.849,-30.311,956,956.1
0,5522,21.867,-30.431,975,975.1
0,5523,21.871,-30.437,984.9,985
0,5524,21.875,-30.888,1250,1250.1
0,5525,21.876,-30.887,1240.8,1240.9
0,5526,21.88,-30.357,963,963.1
0,5527,21.904,-30.481,1019.1,1019.2
0,5528,21.905,-30.483,1021,1021.1
0,5529,21.906,-30.276,954,954.1
0,5530,21.91,-30.546,1034.8,1034.9
0,5531,21.911,-30.545,1035,1035.1
0,5532,21.915,-30.59,1043.6,1043.7
0,5533,21.92,-30.93,1326.8,1326.9
0,5534,21.926,-30.61,1050,1050.1
0,5535,21.926,-30.936,1340,1340.1
0,5536,21.946,-30.636,1051.9,1052
0,5537,21.954,-30.36,997,997.1
0,5538,21.976,-30.658,1055,1055.1
0,5539,21.984,-30.963,1314.1,1314.2
0,5540,21.984,-30.247,980,980.1
0,5541,21.995,-30.97,1272.5,1272.6
